Symbol,Series,Date,Prev_Close,Open_Price,High_Price,Low_Price,Last_Price,Close_Price,Average_Price,Total_Traded_Quantity,Turnover,No. of_Trades,Deliverable_Qty,% Dly Qt to_Traded_Qty
BHARTIARTL,EQ,04-11-2022,818.65,815.7,821.8,809.2,816.1,816.4,814.59,3768226,3069542041,90470,2243180,59.53
BHARTIARTL,BL,03-11-2022,802.1,809.85,809.85,809.85,809.85,809.85,809.85,3400871,2754195379,1,-,-
BHARTIARTL,EQ,03-11-2022,809.85,809.75,824.4,804.2,817.5,818.65,817.78,5897840,4823129132,160802,3380905,57.32
BHARTIARTL,EQ,31-10-2022,816.85,823,833.8,820,832,832,829.27,5487233,4550408262,166517,3411499,62.17
BHARTIARTL,EQ,28-10-2022,817.1,819,824.4,811.3,819.5,816.85,816.7,3905093,3189279527,106794,1890500,67.1
BHARTIARTL,EQ,27-10-2022,802.3,806.5,822.2,804.2,819,817.1,814.52,8159181,6645839710,136216,5161702,63.26
BHARTIARTL,BL,25-10-2022,799.9,802.1,802.1,802.1,802.1,802.1,802.1,1829674,1467581515,1,-,-
BHARTIARTL,EQ,25-10-2022,802.1,806.15,806.35,798.7,800.2,802.3,801.95,3184277,2553637110,83923,2023337,63.54
BHARTIARTL,EQ,24-10-2022,797.45,800,807.5,800,800.1,802.1,804.21,522406,420121913.9,21705,226296,43.32
BHARTIARTL,EQ,21-10-2022,792.9,790,802.85,789.75,795.6,797.45,798.07,4807736,3836904518,155438,2884033,73.38
BHARTIARTL,EQ,20-10-2022,783.4,782,794,778.3,791,792.9,788.7,4756732,3751642724,96091,3031146,63.72
BHARTIARTL,EQ,19-10-2022,783.15,787.95,788.65,779.5,784.5,783.4,783.14,5219180,4087364136,98760,3552234,68.06
BHARTIARTL,EQ,18-10-2022,766,769.85,785.6,768.65,783,783.15,782.28,4391263,3435211662,112815,2576003,58.66
BHARTIARTL,EQ,17-10-2022,765.95,761,771,759.85,765.65,766,764.89,4566333,3492734003,138509,3239457,70.94
BHARTIARTL,EQ,14-10-2022,768.9,779.95,779.95,763.05,766.5,765.95,772.16,3608210,2786100554,85709,2176149,60.31
BHARTIARTL,EQ,13-10-2022,775.55,775,779,767.65,768,768.9,770.69,2842056,2190332519,101132,1519596,53.47
